LIBERAL,Brampton--Springdale
LIBERAL,Kitchener--Waterloo
NDP,Welland
LIBERAL,Random--Burin--St. George's
LIBERAL,Ajax--Pickering
LIBERAL,Brampton West
LIBERAL,Egmont
LIBERAL,Vaughan
LIBERAL,Kingston and the Islands
LIBERAL,Saint John
NDP,Sault Ste. Marie
LIBERAL,North Vancouver
NDP,Burnaby--Douglas
LIBERAL,Mississauga South
LIBERAL,Kitchener Centre
LIBERAL,Eglinton--Lawrence
LIBERAL,Mississauga--Erindale
LIBERAL,Oak Ridges--Markham
LIBERAL,West Nova
BLOC,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup
LIBERAL,Guelph
NDP,Elmwood--Transcona
LIBERAL,Esquimalt--Juan de Fuca
LIBERAL,York Centre
LIBERAL,Moncton--Riverview--Dieppe
LIBERAL,London North Centre
NDP,Surrey North
BLOC,Chicoutimi--Le Fjord
LIBERAL,Miramichi
LIBERAL,London West
LIBERAL,Don Valley West
NDP,Edmonton--Strathcona
LIBERAL,Bramalea--Gore--Malton
LIBERAL,Ottawa--Orleans
LIBERAL,Malpeque
BLOC,Beauport--Limoilou
NDP,Pontiac
NDP,Vancouver Island North
LIBERAL,Saint Boniface
LIBERAL,Edmonton Centre
GREEN,Saanich--Gulf Islands
